Business Event,Regime,Regime Code,Account Code,Account Name,Semantic Classification,Recognition Rule,Measurement Rule,Posting Rule (Debit),Posting Rule (Credit),FS Classification,FS Line Item,Effective From,Effective To,Source Authority,Semantic Change Type,Notes
"Vendor prepayment recorded (cash advance to supplier)",TT133-2016,TT133,331,Phải trả cho người bán,Advance to vendor (debit balance TK 331),Upon cash disbursement to vendor,Historical cost (amount advanced),331,"111, 112","Current Assets > Short-term receivables (if debit balance)","Phải thu ngắn hạn (when debit)",2017-01-01,2025-12-31,"TT133/2016 Appendix 1, Crowe 2016",EQUIVALENT,"TK 331 can have DEBIT balance = vendor advance"
"Vendor prepayment recorded (cash advance to supplier)",TT99-2025,TT99,331,Phải trả cho người bán,Advance to vendor (debit balance TK 331),Upon cash disbursement to vendor,Historical cost (amount advanced),331,"111, 112","Current Assets > Short-term receivables","Trả trước cho người bán",2026-01-01,NULL,"TT99/2025 Phụ lục II breakthrough",EQUIVALENT,"TK 331 debit balance = vendor advance (explicit)"
"Vendor prepayment applied (offset against invoice)",TT133-2016,TT133,331,Phải trả cho người bán,Apply vendor advance to payable,Upon invoice receipt,Historical cost (amount applied),"156, 152, 211",331,"N/A - offset","Asset acquisition",2017-01-01,2025-12-31,"TT133/2016 Appendix 1",EQUIVALENT,"Offset prepayment against invoice"
"Vendor prepayment applied (offset against invoice)",TT99-2025,TT99,331,Phải trả cho người bán,Apply vendor advance to payable,Upon invoice receipt,Historical cost (amount applied),"156, 152, 211",331,"N/A - offset","Asset acquisition",2026-01-01,NULL,"TT99/2025 Phụ lục II",EQUIVALENT,"Offset prepayment against invoice"
"Vendor invoice received (no prepayment)",TT133-2016,TT133,331,Phải trả cho người bán,Trade payable,Upon invoice receipt (goods/services received),Historical cost (invoice amount),"156, 152, 211, 6xx",331,"Current Liabilities > Short-term payables","Phải trả người bán (credit balance)",2017-01-01,2025-12-31,"TT133/2016 Appendix 1",IDENTICAL,"Standard payable (credit balance)"
"Vendor invoice received (no prepayment)",TT99-2025,TT99,331,Phải trả cho người bán,Trade payable,Upon invoice receipt (goods/services received),Historical cost (invoice amount),"156, 152, 211, 6xx",331,"Current Liabilities > Short-term payables","Phải trả người bán",2026-01-01,NULL,"TT99/2025 Phụ lục II",IDENTICAL,"Standard payable (credit balance)"
"Vendor invoice paid",TT133-2016,TT133,331,Phải trả cho người bán,Settle trade payable,Upon payment confirmation,Historical cost (payment amount),331,"111, 112","N/A - liability reduction","Payment",2017-01-01,2025-12-31,"TT133/2016 Appendix 1",IDENTICAL,"Pay vendor invoice"
"Vendor invoice paid",TT99-2025,TT99,331,Phải trả cho người bán,Settle trade payable,Upon payment confirmation,Historical cost (payment amount),331,"111, 112","N/A - liability reduction","Payment",2026-01-01,NULL,"TT99/2025 Phụ lục II",IDENTICAL,"Pay vendor invoice"
"Short-term prepayment for services (non-vendor)",TT133-2016,TT133,142,Chi phí trả trước ngắn hạn,Short-term prepaid expense,Upon payment for future service,Historical cost (amount prepaid),142,"111, 112","Current Assets > Short-term prepayments","Chi phí trả trước",2017-01-01,2025-12-31,"TT133/2016 Appendix 1 (before merge)",DEPRECATED,"TK 142 merged into TK 242 per Crowe 2016"
"Short-term prepayment for services (non-vendor)",TT99-2025,TT99,242,Chi phí trả trước,Prepaid expense (merged),Upon payment for future service,Historical cost (amount prepaid),242,"111, 112","Current Assets > Short-term prepayments","Chi phí trả trước",2026-01-01,NULL,"TT99/2025 Phụ lục II",MERGED,"TT133 TK 142 + TK 244 merged into TT99 TK 242"
"Long-term prepayment for services",TT133-2016,TT133,244,Chi phí trả trước dài hạn,Long-term prepaid expense,Upon payment for future service (>1 year),Historical cost (amount prepaid),244,"111, 112","Non-current Assets > Long-term prepayments","Chi phí trả trước dài hạn",2017-01-01,2025-12-31,"TT133/2016 Appendix 1 (before merge)",DEPRECATED,"TK 244 merged into TK 242 per Crowe 2016"
"Long-term prepayment for services",TT99-2025,TT99,242,Chi phí trả trước,Prepaid expense (merged),Upon payment for future service (>1 year),Historical cost (amount prepaid),242,"111, 112","Non-current Assets > Long-term prepayments (if >1 year)","Chi phí trả trước (phân loại theo kỳ)",2026-01-01,NULL,"TT99/2025 Phụ lục II",MERGED,"TT133 TK 142 + TK 244 merged into TT99 TK 242"
"Merchandise purchased (inventory)",TT133-2016,TT133,156,Hàng hóa,Merchandise inventory,Upon goods receipt,Historical cost or net realizable value,156,"111, 112, 331","Current Assets > Inventories","Hàng tồn kho",2017-01-01,2025-12-31,"TT133/2016 Appendix 1",IDENTICAL,"Inventory acquisition"
"Merchandise purchased (inventory)",TT99-2025,TT99,156,Hàng hóa,Merchandise inventory,Upon goods receipt,Historical cost or net realizable value,156,"111, 112, 331","Current Assets > Inventories","Hàng tồn kho",2026-01-01,NULL,"TT99/2025 Phụ lục II",IDENTICAL,"Inventory acquisition"
"Raw materials purchased",TT133-2016,TT133,152,Nguyên liệu vật liệu,Raw materials inventory,Upon goods receipt,Historical cost or net realizable value,152,"111, 112, 331","Current Assets > Inventories","Hàng tồn kho",2017-01-01,2025-12-31,"TT133/2016 Appendix 1",IDENTICAL,"Raw materials"
"Raw materials purchased",TT99-2025,TT99,152,Nguyên liệu vật liệu,Raw materials inventory,Upon goods receipt,Historical cost or net realizable value,152,"111, 112, 331","Current Assets > Inventories","Hàng tồn kho",2026-01-01,NULL,"TT99/2025 Phụ lục II",IDENTICAL,"Raw materials"
"Fixed asset purchased",TT133-2016,TT133,211,Tài sản cố định hữu hình,Tangible fixed assets,Upon asset ready for use,Historical cost,211,"111, 112, 331, 341","Non-current Assets > Fixed Assets","Tài sản cố định",2017-01-01,2025-12-31,"TT133/2016 Appendix 1",IDENTICAL,"Fixed asset acquisition"
"Fixed asset purchased",TT99-2025,TT99,211,Tài sản cố định hữu hình,Tangible fixed assets,Upon asset ready for use,Historical cost,211,"111, 112, 331, 341","Non-current Assets > Fixed Assets","Tài sản cố định",2026-01-01,NULL,"TT99/2025 Phụ lục II",IDENTICAL,"Fixed asset acquisition"
