Semantic_ID,Business_Event,Accounting_Semantic,Semantic_Change_Type,Regime_Code,Regime_Version,Effective_From,Effective_To,Account_Code,Account_Lifecycle,Recognition_Trigger,Recognition_Timing,Measurement_Basis,Posting_Context,Posting_Rule_Debit,Posting_Rule_Credit,FS_Section,FS_Subsection,FS_Line_Item,Presentation_Rule,Source_Authority_Primary,Source_Location_Primary,Source_Authority_Secondary,Authority_Level,Confidence,Research_Status,Notes
SEM-006,Vendor prepayment recorded,Advance payment to vendor (debit balance TK 331),EQUIVALENT,TT133-2016,1.0,2017-01-01,2025-12-31,331,ACTIVE,Cash disbursement to vendor,"[AMBIGUOUS] Timing rule not verified",Historical cost (amount advanced),Vendor prepayment - debit side of TK 331,331,111/112,Current Assets,Short-term Receivables,Phải thu ngắn hạn (when debit balance),"[CRITICAL] TK 331 can have DEBIT balance. Need to verify HOW to present in FS when debit vs credit.",TT133/2016,Phụ lục 1 - Hệ thống tài khoản,Crowe Vietnam 2016,PRIMARY,CONFIRMED,VERIFIED,"CRITICAL FINDING: TK 331 debit balance = vendor advance. TT133 IMPLICIT (no explicit FS line item). Classification EQUIVALENT (not IDENTICAL) because presentation differs from TT99."
SEM-006,Vendor prepayment recorded,Advance payment to vendor (debit balance TK 331),EQUIVALENT,TT99-2025,1.0,2026-01-01,NULL,331,ACTIVE,Cash disbursement to vendor,"[AMBIGUOUS] Timing rule not verified",Historical cost (amount advanced),Vendor prepayment - debit side of TK 331,331,111/112,Current Assets,Short-term Receivables,Trả trước cho người bán,"[CRITICAL] TT99 provides EXPLICIT FS line item for vendor prepayment. This is key difference from TT133.",TT99/2025,Phụ lục II - Hệ thống tài khoản,F5.6 breakthrough research,PRIMARY,CONFIRMED,VERIFIED,"CRITICAL FINDING: TK 331 debit balance = vendor advance. TT99 EXPLICIT with dedicated FS line item 'Trả trước cho người bán'. Classification EQUIVALENT because presentation guidance differs from TT133."
SEM-007,Vendor prepayment applied,Apply vendor advance to invoice payable,EQUIVALENT,TT133-2016,1.0,2017-01-01,2025-12-31,331,ACTIVE,Invoice received from vendor,"[AMBIGUOUS] Timing rule not verified",Historical cost (amount applied),Vendor prepayment applied to invoice,156/152/211,331,N/A - Offset,Asset Acquisition,Offset prepayment against invoice,"[UNRESOLVED] Treatment of partial application",TT133/2016,Phụ lục 1 - Hệ thống tài khoản,N/A,PRIMARY,PROBABLE,NEEDS_VERIFICATION,"Offset logic verified from practice. Legal timing AMBIGUOUS."
SEM-007,Vendor prepayment applied,Apply vendor advance to invoice payable,EQUIVALENT,TT99-2025,1.0,2026-01-01,NULL,331,ACTIVE,Invoice received from vendor,"[AMBIGUOUS] Timing rule not verified",Historical cost (amount applied),Vendor prepayment applied to invoice,156/152/211,331,N/A - Offset,Asset Acquisition,Offset prepayment against invoice,"[UNRESOLVED] Treatment of partial application",TT99/2025,Phụ lục II - Hệ thống tài khoản,N/A,PRIMARY,PROBABLE,NEEDS_VERIFICATION,"Offset logic verified from practice. Legal timing AMBIGUOUS."
SEM-008,Vendor invoice received (no prepayment),Trade payable to vendor,IDENTICAL,TT133-2016,1.0,2017-01-01,2025-12-31,331,ACTIVE,Invoice received + goods/services received,"[AMBIGUOUS] Matching rule not verified from VAS",Historical cost (invoice amount),Standard vendor payable - credit side of TK 331,156/152/211/6xx,331,Current Liabilities,Short-term Payables,Phải trả người bán (credit balance),"[UNRESOLVED] Treatment when goods arrive before invoice or vice versa",TT133/2016,Phụ lục 1 - Hệ thống tài khoản,N/A,PRIMARY,PROBABLE,NEEDS_VERIFICATION,"Account code verified. Recognition matching principle AMBIGUOUS - need VAS reference."
SEM-008,Vendor invoice received (no prepayment),Trade payable to vendor,IDENTICAL,TT99-2025,1.0,2026-01-01,NULL,331,ACTIVE,Invoice received + goods/services received,"[AMBIGUOUS] Matching rule not verified from VAS",Historical cost (invoice amount),Standard vendor payable - credit side of TK 331,156/152/211/6xx,331,Current Liabilities,Short-term Payables,Phải trả người bán,"[UNRESOLVED] Treatment when goods arrive before invoice or vice versa",TT99/2025,Phụ lục II - Hệ thống tài khoản,N/A,PRIMARY,PROBABLE,NEEDS_VERIFICATION,"Account code verified. Recognition matching principle AMBIGUOUS - need VAS reference."
SEM-009,Vendor invoice paid,Settle vendor payable,IDENTICAL,TT133-2016,1.0,2017-01-01,2025-12-31,331,ACTIVE,Payment confirmation,"[AMBIGUOUS] Confirmation timing not verified",Historical cost (payment amount),Vendor payment,331,111/112,N/A - Liability Reduction,Payment,Payment,"[UNRESOLVED] Treatment of payment in transit",TT133/2016,Phụ lục 1 - Hệ thống tài khoản,N/A,PRIMARY,PROBABLE,NEEDS_VERIFICATION,"Payment logic verified from practice. Legal timing AMBIGUOUS."
SEM-009,Vendor invoice paid,Settle vendor payable,IDENTICAL,TT99-2025,1.0,2026-01-01,NULL,331,ACTIVE,Payment confirmation,"[AMBIGUOUS] Confirmation timing not verified",Historical cost (payment amount),Vendor payment,331,111/112,N/A - Liability Reduction,Payment,Payment,"[UNRESOLVED] Treatment of payment in transit",TT99/2025,Phụ lục II - Hệ thống tài khoản,N/A,PRIMARY,PROBABLE,NEEDS_VERIFICATION,"Payment logic verified from practice. Legal timing AMBIGUOUS."
SEM-010,Short-term prepaid expense (non-vendor),Prepaid expense for future service (short-term),MERGED,TT133-2016,1.0,2017-01-01,2025-12-31,142,DEPRECATED,Payment for future service,"[AMBIGUOUS] Not verified from TT133",Historical cost (amount prepaid),Prepaid expense recorded,142,111/112,Current Assets,Short-term Prepayments,Chi phí trả trước,"[UNRESOLVED] Amortization rule",TT133/2016,Phụ lục 1 - Hệ thống tài khoản (before merge),Crowe Vietnam 2016,PRIMARY,CONFIRMED,VERIFIED,"TK 142 DEPRECATED in TT99. Merged into TK 242. Source: Crowe 2016 'Merge short-term and long-term prepayment into account 242'."
SEM-010,Short-term prepaid expense (non-vendor),Prepaid expense for future service (merged),MERGED,TT99-2025,1.0,2026-01-01,NULL,242,ACTIVE,Payment for future service,"[AMBIGUOUS] Not verified from TT99",Historical cost (amount prepaid),Prepaid expense recorded (short-term),242,111/112,Current Assets,Short-term Prepayments,Chi phí trả trước (phân loại theo kỳ),"[CRITICAL] TT99 merged TK 142 + TK 244 → TK 242. Classification by period at FS preparation, NOT at account level.",TT99/2025,Phụ lục II - Hệ thống tài khoản,Crowe Vietnam 2016,PRIMARY,CONFIRMED,VERIFIED,"SEMANTIC TRANSITION: TT133 TK 142 merged into TT99 TK 242. Presentation rule changed: period classification moved from account to FS prep."
SEM-011,Long-term prepaid expense,Prepaid expense for future service (long-term),MERGED,TT133-2016,1.0,2017-01-01,2025-12-31,244,DEPRECATED,Payment for future service (>1 year),"[AMBIGUOUS] Not verified from TT133",Historical cost (amount prepaid),Prepaid expense recorded (long-term),244,111/112,Non-current Assets,Long-term Prepayments,Chi phí trả trước dài hạn,"[UNRESOLVED] Amortization rule for long-term",TT133/2016,Phụ lục 1 - Hệ thống tài khoản (before merge),Crowe Vietnam 2016,PRIMARY,CONFIRMED,VERIFIED,"TK 244 DEPRECATED in TT99. Merged into TK 242. Source: Crowe 2016."
SEM-011,Long-term prepaid expense,Prepaid expense for future service (merged),MERGED,TT99-2025,1.0,2026-01-01,NULL,242,ACTIVE,Payment for future service (>1 year),"[AMBIGUOUS] Not verified from TT99",Historical cost (amount prepaid),Prepaid expense recorded (long-term),242,111/112,Non-current Assets,Long-term Prepayments (if >1 year),Chi phí trả trước (phân loại theo kỳ),"[CRITICAL] TT99 merged TK 142 + TK 244 → TK 242. Classification by period at FS preparation, NOT at account level.",TT99/2025,Phụ lục II - Hệ thống tài khoản,Crowe Vietnam 2016,PRIMARY,CONFIRMED,VERIFIED,"SEMANTIC TRANSITION: TT133 TK 244 merged into TT99 TK 242. Presentation rule changed: period classification moved from account to FS prep."
SEM-012,Merchandise purchased,Merchandise inventory acquisition,IDENTICAL,TT133-2016,1.0,2017-01-01,2025-12-31,156,ACTIVE,"[AMBIGUOUS] Goods receipt or invoice?","[AMBIGUOUS] Not verified from VAS",Historical cost or net realizable value (lower),Inventory acquisition,156,111/112/331,Current Assets,Inventories,Hàng tồn kho,"[UNRESOLVED] Valuation method (FIFO/LIFO/Weighted Average)",TT133/2016,Phụ lục 1 - Hệ thống tài khoản,N/A,PRIMARY,PROBABLE,NEEDS_VERIFICATION,"Account code verified. Recognition trigger and measurement basis AMBIGUOUS - need VAS 02 (Inventories) reference."
SEM-012,Merchandise purchased,Merchandise inventory acquisition,IDENTICAL,TT99-2025,1.0,2026-01-01,NULL,156,ACTIVE,"[AMBIGUOUS] Goods receipt or invoice?","[AMBIGUOUS] Not verified from VAS",Historical cost or net realizable value (lower),Inventory acquisition,156,111/112/331,Current Assets,Inventories,Hàng tồn kho,"[UNRESOLVED] Valuation method (FIFO/LIFO/Weighted Average)",TT99/2025,Phụ lục II - Hệ thống tài khoản,N/A,PRIMARY,PROBABLE,NEEDS_VERIFICATION,"Account code verified. Recognition trigger and measurement basis AMBIGUOUS - need VAS 02 (Inventories) reference."
SEM-013,Raw materials purchased,Raw materials inventory acquisition,IDENTICAL,TT133-2016,1.0,2017-01-01,2025-12-31,152,ACTIVE,"[AMBIGUOUS] Goods receipt or invoice?","[AMBIGUOUS] Not verified from VAS",Historical cost or net realizable value (lower),Inventory acquisition,152,111/112/331,Current Assets,Inventories,Hàng tồn kho,"[UNRESOLVED] Valuation method",TT133/2016,Phụ lục 1 - Hệ thống tài khoản,N/A,PRIMARY,PROBABLE,NEEDS_VERIFICATION,"Account code verified. Recognition and measurement AMBIGUOUS - need VAS 02 reference."
SEM-013,Raw materials purchased,Raw materials inventory acquisition,IDENTICAL,TT99-2025,1.0,2026-01-01,NULL,152,ACTIVE,"[AMBIGUOUS] Goods receipt or invoice?","[AMBIGUOUS] Not verified from VAS",Historical cost or net realizable value (lower),Inventory acquisition,152,111/112/331,Current Assets,Inventories,Hàng tồn kho,"[UNRESOLVED] Valuation method",TT99/2025,Phụ lục II - Hệ thống tài khoản,N/A,PRIMARY,PROBABLE,NEEDS_VERIFICATION,"Account code verified. Recognition and measurement AMBIGUOUS - need VAS 02 reference."
SEM-014,Fixed asset purchased,Tangible fixed asset acquisition,IDENTICAL,TT133-2016,1.0,2017-01-01,2025-12-31,211,ACTIVE,Asset ready for intended use,"[AMBIGUOUS] Not verified from VAS",Historical cost,Fixed asset acquisition,211,111/112/331/341,Non-current Assets,Fixed Assets,Tài sản cố định,"[UNRESOLVED] Capitalization threshold and componentization",TT133/2016,Phụ lục 1 - Hệ thống tài khoản,N/A,PRIMARY,PROBABLE,NEEDS_VERIFICATION,"Account code verified. Recognition trigger and capitalization rule AMBIGUOUS - need VAS 03 (Tangible Fixed Assets) reference."
SEM-014,Fixed asset purchased,Tangible fixed asset acquisition,IDENTICAL,TT99-2025,1.0,2026-01-01,NULL,211,ACTIVE,Asset ready for intended use,"[AMBIGUOUS] Not verified from VAS",Historical cost,Fixed asset acquisition,211,111/112/331/341,Non-current Assets,Fixed Assets,Tài sản cố định,"[UNRESOLVED] Capitalization threshold and componentization",TT99/2025,Phụ lục II - Hệ thống tài khoản,N/A,PRIMARY,PROBABLE,NEEDS_VERIFICATION,"Account code verified. Recognition trigger and capitalization rule AMBIGUOUS - need VAS 03 (Tangible Fixed Assets) reference."
