component,current_path,layer,domain,owner,healthcare_specific,cross_industry_candidate,imports_healthcare,imports_platform_host,database_dependencies,event_dependencies,api_dependencies,risk,reuse_level,refactor_required,evidence,decision
Billing Engine,src/platform/healthcare/engines/billing-engine,Healthcare Platform,Healthcare Kernel,Healthcare Platform,TRUE,FALSE,FALSE,FALSE,hc_billing_charges,Event Bus,None,N/A,None,N/A,"Healthcare charge capture. CPT/HCPCS coding. Insurance claims. NOT generic finance (education tuition has different rules).",ISOLATED - Healthcare Only
Insurance Engine,src/platform/healthcare/engines/insurance-engine,Healthcare Platform,Healthcare Kernel,Healthcare Platform,TRUE,FALSE,FALSE,FALSE,hc_insurance_verifications,None,None,N/A,None,N/A,"Insurance verification + prior auth + claims submission. Healthcare-specific: BHYT/payer contracts. Education has scholarship not insurance.",ISOLATED - Healthcare Only
Scheduling Engine,src/platform/healthcare/engines/scheduling-engine,Healthcare Platform,Healthcare Kernel,Healthcare Platform,TRUE,FALSE,FALSE,FALSE,hc_appointments,None,None,N/A,None,N/A,"Appointment booking for doctors. Healthcare-specific: doctor availability + specialty + procedure duration. Education scheduling has class/teacher/room (different constraints).",ISOLATED - Healthcare Only
Queue Engine,src/platform/healthcare/engines/queue-engine,Healthcare Platform,Healthcare Kernel,Healthcare Platform,TRUE,FALSE,FALSE,TRUE,hc_queue_entries,Event Bus,None,N/A,None,N/A,"Smart queue optimization for OPD. Healthcare-specific: priority by triage score + waiting time algorithm. Uses eventBus but domain logic is pure healthcare.",ISOLATED - Healthcare Only
Order Engine,src/platform/healthcare/engines/order-engine,Healthcare Platform,Healthcare Kernel,Healthcare Platform,TRUE,FALSE,FALSE,TRUE,hc_clinical_orders,Event Bus,Order Contract,N/A,None,N/A,"Clinical order lifecycle (lab/imaging/medication). Healthcare-specific: CPOE workflow + order sets + clinical pathways.",ISOLATED - Healthcare Only
Laboratory Engine,src/platform/healthcare/engines/laboratory-engine,Healthcare Platform,Healthcare Kernel,Healthcare Platform,TRUE,FALSE,FALSE,FALSE,hc_lab_tests + hc_lab_results,None,None,N/A,None,N/A,"Lab test catalog + result entry + interpretation. Healthcare-specific: LOINC codes + reference ranges + critical values.",ISOLATED - Healthcare Only
Imaging Engine,src/platform/healthcare/engines/imaging-engine,Healthcare Platform,Healthcare Kernel,Healthcare Platform,TRUE,FALSE,FALSE,FALSE,hc_imaging_orders,None,None,N/A,None,N/A,"Radiology workflow + PACS integration. Healthcare-specific: DICOM + modality worklist + imaging protocols.",ISOLATED - Healthcare Only
Operating Room Engine,src/platform/healthcare/engines/or-engine,Healthcare Platform,Healthcare Kernel,Healthcare Platform,TRUE,FALSE,FALSE,TRUE,hc_or_schedules + hc_or_sessions,Event Bus,OR Contract,N/A,None,N/A,"OR scheduling + surgical workflow. Healthcare-specific: OR readiness checklist + sterile processing + SSI prevention. Publishes ORSessionStarted events.",ISOLATED - Healthcare Only
Surgical Engine,src/platform/healthcare/engines/surgical-engine,Healthcare Platform,Healthcare Kernel,Healthcare Platform,TRUE,FALSE,FALSE,TRUE,hc_surgeries,Event Bus,Surgical Contract,N/A,None,N/A,"Surgical procedure tracking. Healthcare-specific: ICD-9-CM procedure codes + surgical team + implants + complications.",ISOLATED - Healthcare Only
Anesthesia Engine,src/platform/healthcare/engines/anesthesia-engine,Healthcare Platform,Healthcare Kernel,Healthcare Platform,TRUE,FALSE,FALSE,TRUE,hc_anesthesia_records,Event Bus,Anesthesia Contract,N/A,None,N/A,"Anesthesia documentation + monitoring. Healthcare-specific: ASA score + anesthetic agents + intraop vitals + PACU handoff.",ISOLATED - Healthcare Only
ICU Engine,src/platform/healthcare/engines/icu-engine,Healthcare Platform,Healthcare Kernel,Healthcare Platform,TRUE,FALSE,FALSE,TRUE,hc_icu_admissions + hc_icu_vitals,Event Bus,ICU Contract,N/A,None,N/A,"Intensive care unit management. Healthcare-specific: APACHE II score + ventilator settings + critical care protocols.",ISOLATED - Healthcare Only
Emergency Engine,src/platform/healthcare/engines/emergency-engine,Healthcare Platform,Healthcare Kernel,Healthcare Platform,TRUE,FALSE,FALSE,TRUE,hc_emergency_visits + hc_triage,Event Bus,Emergency Contract,N/A,None,N/A,"Emergency department workflow. Healthcare-specific: ESI triage (1-5) + NEDOCS calculation + ED throughput metrics.",ISOLATED - Healthcare Only
Blood Bank Engine,src/platform/healthcare/engines/blood-bank-engine,Healthcare Platform,Healthcare Kernel,Healthcare Platform,TRUE,FALSE,FALSE,TRUE,hc_blood_products + hc_transfusions,Event Bus,Blood Bank Contract,N/A,None,N/A,"Blood inventory + transfusion. Healthcare-specific: ABO/Rh typing + crossmatch + transfusion reactions.",ISOLATED - Healthcare Only
CSSD Engine,src/platform/healthcare/engines/cssd-engine,Healthcare Platform,Healthcare Kernel,Healthcare Platform,TRUE,FALSE,FALSE,TRUE,hc_cssd_instruments + hc_sterilization_cycles,Event Bus,CSSD Contract,N/A,None,N/A,"Central Sterile Supply Department. Healthcare-specific: sterilization cycles + biological indicators + instrument tracking + OR readiness.",ISOLATED - Healthcare Only
PACU Engine,src/platform/healthcare/engines/pacu-engine,Healthcare Platform,Healthcare Kernel,Healthcare Platform,TRUE,FALSE,FALSE,TRUE,hc_pacu_admissions + hc_pacu_monitoring,Event Bus,PACU Contract,N/A,None,N/A,"Post-Anesthesia Care Unit. Healthcare-specific: Aldrete score + PACU discharge criteria + post-op monitoring.",ISOLATED - Healthcare Only
OR Readiness Engine,src/platform/healthcare/engines/or-readiness-engine,Healthcare Platform,Healthcare Kernel,Healthcare Platform,TRUE,FALSE,FALSE,TRUE,hc_or_readiness_checks,Event Bus,OR Readiness Contract,N/A,None,N/A,"OR readiness verification. Healthcare-specific: consent + imaging available + equipment ready + patient fasting status + CSSD sterilization.",ISOLATED - Healthcare Only
CDS Engine,src/platform/healthcare/engines/cds-engine,Healthcare Platform,Healthcare Kernel,Healthcare Platform,TRUE,FALSE,FALSE,TRUE,hc_cds_rules + hc_allergy_records,Event Bus,CDS Contract,N/A,None,N/A,"Clinical Decision Support. Healthcare-specific: drug-drug interaction + drug-allergy + duplicate therapy detection + clinical pathways.",ISOLATED - Healthcare Only
Activity Stream,src/platform/activity-stream,Shared Platform,Cross-Cutting,Shared,FALSE,TRUE,FALSE,FALSE,None,None,None,Low,Medium,None,"Generic activity log. ActivityEntry<T> interface with actor/object/verb. Can log patient visits OR student enrollments. Evidence: No healthcare terminology in activity-stream/index.ts.",APPROVED - Cross-Industry
AI Orchestrator,src/platform/ai-orchestrator,Shared Platform,AI,Shared,FALSE,TRUE,FALSE,FALSE,None,None,None,Low,Medium,None,"AI model adapter + prompt orchestration. Generic AiCompletionRequest/Response. No clinical prompts baked in. Evidence: ai-orchestrator/index.ts has generic interfaces.",APPROVED - Cross-Industry
Asset Management,src/platform/asset,Shared Platform,Asset Tracking,Shared,FALSE,TRUE,FALSE,FALSE,None,None,None,Low,Medium,None,"Generic asset lifecycle. Can track medical equipment OR school computers. Evidence: Asset interface has generic status/location/owner.",APPROVED - Cross-Industry
Party Management,src/platform/party,Shared Platform,Party Registry,Shared,FALSE,TRUE,FALSE,FALSE,None,None,None,Medium,Medium,Check for Person assumptions,"Party = Person + Organization abstraction. MUST AUDIT: Does it assume Patient/Doctor roles? If yes → refactor. If generic → cross-industry.",PENDING - Needs Review
Document Engine,src/platform/document-engine,Shared Platform,Document Management,Shared,FALSE,TRUE,FALSE,FALSE,None,None,None,Low,Medium,None,"DMS with versioning + templates. Generic document lifecycle. Can store medical records OR student transcripts. Evidence: No healthcare-specific document types.",APPROVED - Cross-Industry
Knowledge Platform,src/platform/knowledge,Shared Platform,Knowledge Graph,Shared,FALSE,TRUE,FALSE,FALSE,None,None,None,Medium,Medium,Check for clinical ontology,"Knowledge graph + ontology. MUST AUDIT: Does it embed clinical ontologies (SNOMED/ICD)? If yes → extract. If generic → cross-industry.",PENDING - Needs Review
KPI Engine,src/platform/kpi-engine,Shared Platform,Metrics,Shared,FALSE,TRUE,FALSE,FALSE,None,None,None,Medium,Medium,Check for healthcare KPIs,"KPI aggregation engine. MUST AUDIT: Does it hardcode clinical KPIs (bed occupancy/ALOS)? If yes → move to Healthcare. If generic → cross-industry.",PENDING - Needs Review
Lead Engine,src/platform/lead-engine,Shared Platform,CRM,Shared,FALSE,TRUE,FALSE,FALSE,None,None,None,Low,Medium,None,"Lead lifecycle + routing. Generic CRM. Can route patient inquiries OR school admissions. Evidence: lead-engine/ has generic lead status workflow.",APPROVED - Cross-Industry
Resource Engine,src/platform/resource-engine,Shared Platform,Resource Management,Shared,FALSE,TRUE,FALSE,FALSE,None,None,None,Medium,High,Check for bed/ward assumptions,"Resource allocation + scheduling. MUST AUDIT: Does it assume beds/wards? Or generic rooms/equipment? CRITICAL for Education (classroom scheduling).",PENDING - Needs Review
Search Engine,src/platform/search-engine,Shared Platform,Search,Shared,FALSE,TRUE,FALSE,FALSE,None,None,None,Low,High,None,"Full-text search + indexing. Generic Elasticsearch/MeiliSearch wrapper. No patient search logic hardcoded.",APPROVED - Cross-Industry
Template Engine,src/platform/template-engine,Shared Platform,Templating,Shared,FALSE,TRUE,FALSE,FALSE,None,None,None,Low,Medium,None,"Document template rendering. Generic Handlebars/Mustache wrapper. Can render discharge summaries OR transcripts. Evidence: No healthcare templates baked in.",APPROVED - Cross-Industry
Timeline Platform,src/platform/timeline,Shared Platform,Event Timeline,Shared,FALSE,TRUE,FALSE,FALSE,None,None,None,Low,Medium,None,"Event timeline visualization. Generic time-series event display. Can show patient timeline OR student journey.",APPROVED - Cross-Industry
Healthcare Hospital Services,src/services/healthcare-hospital-services.ts,Product Layer,Hospital Product,Bella Hospital,TRUE,FALSE,TRUE,FALSE,"hc_beds, hc_wards, hc_inpatient_admissions",None,Healthcare Engines,N/A,None,Move engines to Healthcare Platform,"VIOLATION: Contains BedEngineService + NursingVitalsService + MARService. These should be in platform/healthcare/engines/ not services/. Evidence: ADR-010 Phase 0 identified this. REFACTOR: Extract to Healthcare Platform.",REFACTOR REQUIRED
Healthcare Actions,src/services/healthcare/healthcare-actions.ts,Product Layer,Hospital Product,Bella Hospital,TRUE,FALSE,TRUE,FALSE,Multiple hc_ tables,None,Healthcare Engines,N/A,None,N/A,"Server actions for Hospital product. Imports healthcare engines (valid). Product-specific business logic on top of engines.",APPROVED - Product Layer
Bella Dental Product,src/products/bella-dental,Product Layer,Dental Product,Bella Dental,TRUE,FALSE,TRUE,FALSE,None,None,Healthcare Engines,N/A,None,N/A,"Dental clinic product. Consumes Healthcare Platform engines (MPI + Encounter + Clinical + Billing). Product-specific: dental procedures + dental charts.",APPROVED - Product Layer
Bella Medical Product,src/products/bella-medical,Product Layer,Medical Clinic Product,Bella Medical,TRUE,FALSE,TRUE,FALSE,None,None,Healthcare Engines,N/A,None,N/A,"Medical clinic product. Consumes Healthcare Platform engines. Product-specific: OPD workflows + consultation.",APPROVED - Product Layer
