route,file_path,current_owner,current_status,problem_type,evidence,severity,recommended_boundary_action,notes
"/dashboard/finance/cash-flow/page.tsx.backup","src\app\dashboard\finance\cash-flow\page.tsx.backup","Platform Finance / Cross-Product","AMBIGUOUS","CONFLICTING_OWNERSHIP","No product-specific imports; shared finance services","Medium","Investigate actual usage patterns; assign single owner based on dominant context","Ambiguous: Platform Finance Core vs product-specific"
"/dashboard/finance","src\app\dashboard\finance\page.tsx","Platform Finance / Cross-Product","AMBIGUOUS","CONFLICTING_OWNERSHIP","No product-specific imports; shared finance services","Medium","Investigate actual usage patterns; assign single owner based on dominant context","Ambiguous: Platform Finance Core vs product-specific"
"/dashboard/finance/pnl","src\app\dashboard\finance\pnl\page.tsx","Platform Finance / Cross-Product","AMBIGUOUS","CONFLICTING_OWNERSHIP","No product-specific imports; shared finance services","Medium","Investigate actual usage patterns; assign single owner based on dominant context","Ambiguous: Platform Finance Core vs product-specific"
"/dashboard/finance/pnl/page.tsx.backup","src\app\dashboard\finance\pnl\page.tsx.backup","Platform Finance / Cross-Product","AMBIGUOUS","CONFLICTING_OWNERSHIP","No product-specific imports; shared finance services","Medium","Investigate actual usage patterns; assign single owner based on dominant context","Ambiguous: Platform Finance Core vs product-specific"
"/dashboard/finance/reconciliation","src\app\dashboard\finance\reconciliation\page.tsx","Platform Finance / Cross-Product","AMBIGUOUS","CONFLICTING_OWNERSHIP","No product-specific imports; shared finance services","Medium","Investigate actual usage patterns; assign single owner based on dominant context","Ambiguous: Platform Finance Core vs product-specific"
"/dashboard/healthcare","src\app\dashboard\healthcare\page.tsx","Medical Clinic / Healthcare Shared","AMBIGUOUS","CONFLICTING_OWNERSHIP","Plugin loader: BellaMedicalPlugin + BellaDentalPlugin","Medium","Investigate actual usage patterns; assign single owner based on dominant context","Ambiguous: Medical Clinic primary vs Healthcare Shared portal"
"/dashboard/rules/[ruleId]/edit","src\app\dashboard\rules\[ruleId]\edit\page.tsx","UNKNOWN","UNKNOWN","INSUFFICIENT_EVIDENCE","No product imports or service layer traced","Medium","Trace to Decision Engine vs cross-product rules; assign Platform or create Rules product","No product imports traced; could be Platform Decision Engine or cross-product"
"/dashboard/rules/[ruleId]","src\app\dashboard\rules\[ruleId]\page.tsx","UNKNOWN","UNKNOWN","INSUFFICIENT_EVIDENCE","No product imports or service layer traced","Medium","Trace to Decision Engine vs cross-product rules; assign Platform or create Rules product","No product imports traced; could be Platform Decision Engine or cross-product"
"/dashboard/rules/[ruleId]/test","src\app\dashboard\rules\[ruleId]\test\page.tsx","UNKNOWN","UNKNOWN","INSUFFICIENT_EVIDENCE","No product imports or service layer traced","Medium","Trace to Decision Engine vs cross-product rules; assign Platform or create Rules product","No product imports traced; could be Platform Decision Engine or cross-product"
"/dashboard/rules/[ruleId]/versions","src\app\dashboard\rules\[ruleId]\versions\page.tsx","UNKNOWN","UNKNOWN","INSUFFICIENT_EVIDENCE","No product imports or service layer traced","Medium","Trace to Decision Engine vs cross-product rules; assign Platform or create Rules product","No product imports traced; could be Platform Decision Engine or cross-product"
"/dashboard/rules/new","src\app\dashboard\rules\new\page.tsx","UNKNOWN","UNKNOWN","INSUFFICIENT_EVIDENCE","No product imports or service layer traced","Medium","Trace to Decision Engine vs cross-product rules; assign Platform or create Rules product","No product imports traced; could be Platform Decision Engine or cross-product"
"/dashboard/rules","src\app\dashboard\rules\page.tsx","UNKNOWN","UNKNOWN","INSUFFICIENT_EVIDENCE","No product imports or service layer traced","Medium","Trace to Decision Engine vs cross-product rules; assign Platform or create Rules product","No product imports traced; could be Platform Decision Engine or cross-product"
"/hq/financial-overview","src\app\hq\financial-overview\page.tsx","UNKNOWN","UNKNOWN","INSUFFICIENT_EVIDENCE","No product imports or service layer traced","Low","Code inspection required","No product imports traced"
"/hq","src\app\hq\page.tsx","UNKNOWN","UNKNOWN","INSUFFICIENT_EVIDENCE","No product imports or service layer traced","Low","Code inspection required","No product imports traced"
"/login-static","src\app\login-static\page.tsx","UNKNOWN","UNKNOWN","INSUFFICIENT_EVIDENCE","No product imports or service layer traced","Low","Code inspection required","Requires investigation"
"/portal/[token]","src\app\portal\[token]\page.tsx","UNKNOWN","UNKNOWN","INSUFFICIENT_EVIDENCE","No product imports or service layer traced","Low","Trace to Preschool product vs generic student portal","No product imports traced"
"/products/fresh-food","src\app\products\fresh-food\page.tsx","UNKNOWN","UNKNOWN","INSUFFICIENT_EVIDENCE","No product imports or service layer traced","Low","Code inspection required","Requires investigation"
"/products/kids-clothing","src\app\products\kids-clothing\page.tsx","UNKNOWN","UNKNOWN","INSUFFICIENT_EVIDENCE","No product imports or service layer traced","Low","Code inspection required","Requires investigation"
"/student/dashboard","src\app\student\dashboard\page.tsx","UNKNOWN","UNKNOWN","INSUFFICIENT_EVIDENCE","No product imports or service layer traced","Low","Trace to Preschool product vs generic student portal","No product imports traced"
