route,file_path,step3_problem,current_status,decision,final_owner,final_status,decision_evidence,decision_rationale
"/bellaspa","src\app\bellaspa\page.tsx","INSUFFICIENT_EVIDENCE","UNKNOWN","KEEP_UNKNOWN","UNKNOWN","UNKNOWN","No clear product imports. Imports: react; framer-motion; @/components/ui/PremiumSelect; next/link; next/image; lucide-react; sonner; @/components/features/landing/HeroSection; @/components/features/landing/ServiceWizard; @/components/features/landing/FeedbackCarousel; @/components/features/landing/LandingPackagesSection; @/components/features/landing/useLandingData; @/components/features/landing/landing-data; @/core/services/order; @/lib/utils","Insufficient evidence for ownership assignment"
"/book","src\app\book\page.tsx","INSUFFICIENT_EVIDENCE","UNKNOWN","KEEP_UNKNOWN","UNKNOWN","UNKNOWN","No clear product imports. Imports: next; ./BookingPageClient; @/core/services/order","Insufficient evidence for ownership assignment"
"/dashboard/accounting/chart-of-accounts","src\app\dashboard\accounting\chart-of-accounts\page.tsx","CONFLICTING_OWNERSHIP","AMBIGUOUS","RESOLVE_OWNER","Platform Finance Core","KNOWN","No product-specific imports; shared finance services. Imports: @/components/ui/PremiumSelect; @/components/ui/SkeletonLoader; @/services/accounting-actions; framer-motion; lucide-react; react; sonner; @/lib/accounting-error-message; @/hooks/usePageRefresh","Cross-product finance UI; assign to Platform Finance Core"
"/dashboard/accounting (error)","src\app\dashboard\accounting\error.tsx","CONFLICTING_OWNERSHIP","AMBIGUOUS","RESOLVE_OWNER","Platform Finance Core","KNOWN","No product-specific imports; shared finance services. Imports: @sentry/nextjs; next/link; next/navigation; react; lucide-react","Cross-product finance UI; assign to Platform Finance Core"
"/dashboard/accounting/health","src\app\dashboard\accounting\health\page.tsx","CONFLICTING_OWNERSHIP","AMBIGUOUS","RESOLVE_OWNER","Platform Finance Core","KNOWN","No product-specific imports; shared finance services. Imports: react; next/link; lucide-react; sonner; @/services/accounting-actions; @/components/ui/SkeletonLoader; @/hooks/usePageRefresh; @/lib/utils","Cross-product finance UI; assign to Platform Finance Core"
"/dashboard/accounting/journals/[entryId]","src\app\dashboard\accounting\journals\[entryId]\page.tsx","CONFLICTING_OWNERSHIP","AMBIGUOUS","RESOLVE_OWNER","Platform Finance Core","KNOWN","No product-specific imports; shared finance services. Imports: @/components/ui/SkeletonLoader; @/services/accounting-actions; framer-motion; lucide-react; next/link; next/navigation; react; sonner; @/lib/accounting-error-message","Cross-product finance UI; assign to Platform Finance Core"
"/dashboard/accounting/journals","src\app\dashboard\accounting\journals\page.tsx","CONFLICTING_OWNERSHIP","AMBIGUOUS","RESOLVE_OWNER","Platform Finance Core","KNOWN","No product-specific imports; shared finance services. Imports: @/components/ui/PremiumSelect; @/components/ui/SkeletonLoader; @/lib/accounting-subpages-client-cache; @/services/accounting-actions; framer-motion; lucide-react; next/link; react; sonner; @/hooks/usePageRefresh","Cross-product finance UI; assign to Platform Finance Core"
"/dashboard/accounting (layout)","src\app\dashboard\accounting\layout.tsx","CONFLICTING_OWNERSHIP","AMBIGUOUS","RESOLVE_OWNER","Platform Finance Core","KNOWN","No product-specific imports; shared finance services. Imports: react; next/link; next/navigation; framer-motion; lucide-react; lucide-react; @/lib/utils","Cross-product finance UI; assign to Platform Finance Core"
"/dashboard/accounting/manual-entry","src\app\dashboard\accounting\manual-entry\page.tsx","CONFLICTING_OWNERSHIP","AMBIGUOUS","RESOLVE_OWNER","Platform Finance Core","KNOWN","No product-specific imports; shared finance services. Imports: @/components/ui/PremiumSelect; @/components/ui/CurrencyInput; @/components/ui/SkeletonLoader; @/services/accounting-actions; @/services/user-actions; lucide-react; next/navigation; react; sonner; @/lib/accounting-error-message; @/hooks/usePageRefresh","Cross-product finance UI; assign to Platform Finance Core"
"/dashboard/accounting/outbox","src\app\dashboard\accounting\outbox\page.tsx","CONFLICTING_OWNERSHIP","AMBIGUOUS","RESOLVE_OWNER","Platform Finance Core","KNOWN","No product-specific imports; shared finance services. Imports: next/link; react; framer-motion; lucide-react; @/services/accounting-actions; sonner; @/components/ui/SkeletonLoader; @/lib/accounting-error-message; @/hooks/usePageRefresh","Cross-product finance UI; assign to Platform Finance Core"
"/dashboard/accounting","src\app\dashboard\accounting\page.tsx","CONFLICTING_OWNERSHIP","AMBIGUOUS","RESOLVE_OWNER","Platform Finance Core","KNOWN","No product-specific imports; shared finance services. Imports: @/components/ui/SkeletonLoader; @/hooks/usePageRefresh; @/lib/accounting-subpages-client-cache; framer-motion; lucide-react; next/link; react; sonner","Cross-product finance UI; assign to Platform Finance Core"
"/dashboard/accounting/periods","src\app\dashboard\accounting\periods\page.tsx","CONFLICTING_OWNERSHIP","AMBIGUOUS","RESOLVE_OWNER","Platform Finance Core","KNOWN","No product-specific imports; shared finance services. Imports: @/components/ui/SkeletonLoader; @/services/accounting-actions; framer-motion; lucide-react; react; sonner; @/lib/accounting-error-message; @/hooks/usePageRefresh","Cross-product finance UI; assign to Platform Finance Core"
"/dashboard/accounting/readiness","src\app\dashboard\accounting\readiness\page.tsx","CONFLICTING_OWNERSHIP","AMBIGUOUS","RESOLVE_OWNER","Platform Finance Core","KNOWN","No product-specific imports; shared finance services. Imports: react; next/link; lucide-react; sonner; @/services/accounting-actions; @/components/ui/SkeletonLoader; @/lib/utils","Cross-product finance UI; assign to Platform Finance Core"
"/dashboard/accounting/reconciliation","src\app\dashboard\accounting\reconciliation\page.tsx","CONFLICTING_OWNERSHIP","AMBIGUOUS","RESOLVE_OWNER","Platform Finance Core","KNOWN","No product-specific imports; shared finance services. Imports: react; framer-motion; lucide-react; next/link; @/services/accounting-actions; sonner; @/components/ui/SkeletonLoader; @/lib/accounting-error-message; @/hooks/usePageRefresh; @/lib/accounting-subpages-client-cache; @/hooks/useTenantName","Cross-product finance UI; assign to Platform Finance Core"
"/dashboard/accounting/reports","src\app\dashboard\accounting\reports\page.tsx","CONFLICTING_OWNERSHIP","AMBIGUOUS","RESOLVE_OWNER","Platform Finance Core","KNOWN","No product-specific imports; shared finance services. Imports: react; lucide-react; @/services/accounting-actions; @/core/services/analytics/export-actions; @/components/ui/SkeletonLoader; @/components/ui/PremiumSelect; @/components/accounting/ProcessOutboxButton; sonner; @/lib/accounting-error-message; @/hooks/usePageRefresh","Cross-product finance UI; assign to Platform Finance Core"
"/dashboard/accounting/salary-reconciliation","src\app\dashboard\accounting\salary-reconciliation\page.tsx","CONFLICTING_OWNERSHIP","AMBIGUOUS","RESOLVE_OWNER","Platform Finance Core","KNOWN","No product-specific imports; shared finance services. Imports: @/components/ui/SkeletonLoader; @/lib/accounting-subpages-client-cache; @/services/accounting-actions; framer-motion; lucide-react; lucide-react; react; sonner; @/lib/accounting-error-message; @/lib/business-rules/salary; @/hooks/usePageRefresh","Cross-product finance UI; assign to Platform Finance Core"
"/dashboard/bella-auto/experience","src\app\dashboard\bella-auto\experience\page.tsx","INSUFFICIENT_EVIDENCE","UNKNOWN","DEFER_WITH_REASON","UNKNOWN","UNKNOWN","Imports: react; @/components/bella-auto/experience/ExperienceDashboard","bella-auto vs automove naming conflict unresolved; missing architecture decision on product consolidation"
"/dashboard/bella-auto/journeys","src\app\dashboard\bella-auto\journeys\page.tsx","INSUFFICIENT_EVIDENCE","UNKNOWN","DEFER_WITH_REASON","UNKNOWN","UNKNOWN","Imports: react; framer-motion; lucide-react; sonner","bella-auto vs automove naming conflict unresolved; missing architecture decision on product consolidation"
"/dashboard/bella-auto (layout)","src\app\dashboard\bella-auto\layout.tsx","INSUFFICIENT_EVIDENCE","UNKNOWN","DEFER_WITH_REASON","UNKNOWN","UNKNOWN","Imports: react","bella-auto vs automove naming conflict unresolved; missing architecture decision on product consolidation"
"/dashboard/bella-auto/leads","src\app\dashboard\bella-auto\leads\page.tsx","INSUFFICIENT_EVIDENCE","UNKNOWN","DEFER_WITH_REASON","UNKNOWN","UNKNOWN","Imports: react; framer-motion; lucide-react; sonner; @/lib/supabase-client","bella-auto vs automove naming conflict unresolved; missing architecture decision on product consolidation"
"/dashboard/bella-auto","src\app\dashboard\bella-auto\page.tsx","INSUFFICIENT_EVIDENCE","UNKNOWN","DEFER_WITH_REASON","UNKNOWN","UNKNOWN","Imports: react; @/lib/supabase-server; next/navigation; @/components/bella-auto/VehicleInventoryDashboard; @/components/bella-auto/BellaAutoHeader; @/components/bella-auto/AutoAnalyticsCharts; @/components/bella-auto/BellaAutoAnalyticsDashboard","bella-auto vs automove naming conflict unresolved; missing architecture decision on product consolidation"
"/dashboard/bella-auto/trade-in","src\app\dashboard\bella-auto\trade-in\page.tsx","INSUFFICIENT_EVIDENCE","UNKNOWN","DEFER_WITH_REASON","UNKNOWN","UNKNOWN","Imports: react; @/lib/supabase-client; @/modules/bella-auto/services/TradeInPhotoService; lucide-react; sonner","bella-auto vs automove naming conflict unresolved; missing architecture decision on product consolidation"
"/dashboard/bella-auto/vehicles","src\app\dashboard\bella-auto\vehicles\page.tsx","INSUFFICIENT_EVIDENCE","UNKNOWN","DEFER_WITH_REASON","UNKNOWN","UNKNOWN","Imports: react; framer-motion; lucide-react; sonner; @/lib/supabase-client; @/modules/bella-auto/services/AutoInventoryProvider; @/modules/bella-auto/services/VehicleStatusMachineService; react","bella-auto vs automove naming conflict unresolved; missing architecture decision on product consolidation"
"/dashboard/bella-auto/workshop","src\app\dashboard\bella-auto\workshop\page.tsx","INSUFFICIENT_EVIDENCE","UNKNOWN","DEFER_WITH_REASON","UNKNOWN","UNKNOWN","Imports: react; @/modules/bella-auto/components/workshop/ServiceCalendar; @/modules/bella-auto/components/workshop/RepairOrderBoard; @/modules/bella-auto/components/workshop/TechnicianDashboard; @/modules/bella-auto/components/workshop/AppointmentDetailModal; lucide-react; @/lib/supabase-client; sonner; @/modules/bella-auto/lib/workshop-mappers; @/core/hooks/useTenantContext","bella-auto vs automove naming conflict unresolved; missing architecture decision on product consolidation"
"/dashboard/finance/budget","src\app\dashboard\finance\budget\page.tsx","CONFLICTING_OWNERSHIP","AMBIGUOUS","RESOLVE_OWNER","Platform Finance Core","KNOWN","No product-specific imports; shared finance services. Imports: react; next/link; framer-motion; lucide-react; sonner; @/hooks/intelligence; @/components/finance/charts","Cross-product finance UI; assign to Platform Finance Core"
"/dashboard/finance/budget/page.tsx.backup","src\app\dashboard\finance\budget\page.tsx.backup","CONFLICTING_OWNERSHIP","AMBIGUOUS","RESOLVE_OWNER","Platform Finance Core","KNOWN","No product-specific imports; shared finance services. Imports: react; next/navigation; framer-motion; lucide-react; sonner; @/lib/supabase-client; @/services/intelligence/shared/types; @/components/intelligence","Cross-product finance UI; assign to Platform Finance Core"
"/dashboard/finance/cash-flow","src\app\dashboard\finance\cash-flow\page.tsx","CONFLICTING_OWNERSHIP","AMBIGUOUS","RESOLVE_OWNER","Platform Finance Core","KNOWN","No product-specific imports; shared finance services. Imports: react; next/link; framer-motion; lucide-react; sonner; @/core/hooks/useTenantContext; @/hooks/intelligence; @/components/finance/charts","Cross-product finance UI; assign to Platform Finance Core"
"/dashboard/finance/cash-flow/page.tsx.backup","src\app\dashboard\finance\cash-flow\page.tsx.backup","CONFLICTING_OWNERSHIP","AMBIGUOUS","RESOLVE_OWNER","Platform Finance Core","KNOWN","No product-specific imports; shared finance services. Imports: react; next/navigation; framer-motion; lucide-react; sonner; @/lib/supabase-client; @/services/intelligence/shared/types; @/components/intelligence","Cross-product finance UI; assign to Platform Finance Core"
"/dashboard/finance","src\app\dashboard\finance\page.tsx","CONFLICTING_OWNERSHIP","AMBIGUOUS","RESOLVE_OWNER","Platform Finance Core","KNOWN","No product-specific imports; shared finance services. Imports: @/components/features/FinancePnLSummary; @/components/features/TransactionModal; @/components/ui/PremiumExportButton; @/components/ui/PremiumSelect; next/link; @/components/ui/SkeletonLoader; @/hooks/usePageRefresh; @/lib/supabase-client; @/services/finance-actions; @/hooks/intelligence; framer-motion; lucide-react; react; sonner","Cross-product finance UI; assign to Platform Finance Core"
"/dashboard/finance/pnl","src\app\dashboard\finance\pnl\page.tsx","CONFLICTING_OWNERSHIP","AMBIGUOUS","RESOLVE_OWNER","Platform Finance Core","KNOWN","No product-specific imports; shared finance services. Imports: react; next/link; framer-motion; lucide-react; sonner; @/core/hooks/useTenantContext; @/hooks/intelligence; @/components/finance/charts","Cross-product finance UI; assign to Platform Finance Core"
"/dashboard/finance/pnl/page.tsx.backup","src\app\dashboard\finance\pnl\page.tsx.backup","CONFLICTING_OWNERSHIP","AMBIGUOUS","RESOLVE_OWNER","Platform Finance Core","KNOWN","No product-specific imports; shared finance services. Imports: react; framer-motion; lucide-react; sonner; @/hooks/intelligence; @/components/intelligence","Cross-product finance UI; assign to Platform Finance Core"
"/dashboard/finance/reconciliation","src\app\dashboard\finance\reconciliation\page.tsx","CONFLICTING_OWNERSHIP","AMBIGUOUS","RESOLVE_OWNER","Platform Finance Core","KNOWN","No product-specific imports; shared finance services. Imports: react; framer-motion; lucide-react; next/link; sonner; @/hooks/usePageRefresh; @bella/shared; @/lib/utils; ./components/AllocateRevenueModal; ./components/DebtPaymentModal; ./components/ReconciliationHeader; ./components/ReconciliationKpiCards; ./types; ./utils; @/hooks/useModuleVocabulary; @/services/clearing-actions; @/services/reconciliation-actions","Cross-product finance UI; assign to Platform Finance Core"
"/dashboard/healthcare","src\app\dashboard\healthcare\page.tsx","CONFLICTING_OWNERSHIP","AMBIGUOUS","KEEP_AMBIGUOUS","Medical Clinic / Healthcare Shared","AMBIGUOUS","Plugin loader for multiple healthcare products","Legitimately multi-owner: serves both Medical and Dental products via plugin architecture"
"/dashboard/rules/[ruleId]/edit","src\app\dashboard\rules\[ruleId]\edit\page.tsx","INSUFFICIENT_EVIDENCE","UNKNOWN","KEEP_UNKNOWN","UNKNOWN","UNKNOWN","No decision-engine imports found. Imports: react; next; next/link; next/navigation; lucide-react; @/components/rules/RuleEditor; @/components/ui/card; @/components/ui/skeleton; @/lib/supabase-server; @/components/decision-engine/DecisionEngineHeader","Insufficient evidence to assign owner; preserve UNKNOWN pending architecture clarification"
"/dashboard/rules/[ruleId]","src\app\dashboard\rules\[ruleId]\page.tsx","INSUFFICIENT_EVIDENCE","UNKNOWN","KEEP_UNKNOWN","UNKNOWN","UNKNOWN","No decision-engine imports found. Imports: react; next; next/link; next/navigation; @/components/ui/card; @/components/ui/button; @/components/ui/badge; @/components/ui/skeleton; @/lib/supabase-server; @/components/rules/RuleStatusBadge; @/components/rules/RuleProviderBadge; lucide-react; date-fns","Insufficient evidence to assign owner; preserve UNKNOWN pending architecture clarification"
"/dashboard/rules/[ruleId]/test","src\app\dashboard\rules\[ruleId]\test\page.tsx","INSUFFICIENT_EVIDENCE","UNKNOWN","KEEP_UNKNOWN","UNKNOWN","UNKNOWN","No decision-engine imports found. Imports: react; @/lib/supabase-server; next/navigation; @/components/rules/RuleTestSimulator","Insufficient evidence to assign owner; preserve UNKNOWN pending architecture clarification"
"/dashboard/rules/[ruleId]/versions","src\app\dashboard\rules\[ruleId]\versions\page.tsx","INSUFFICIENT_EVIDENCE","UNKNOWN","KEEP_UNKNOWN","UNKNOWN","UNKNOWN","No decision-engine imports found. Imports: react; next/link; react; @/components/ui/card; @/components/ui/button; @/components/ui/badge; sonner; @/components/ui/table; @/components/ui/alert-dialog; lucide-react; date-fns","Insufficient evidence to assign owner; preserve UNKNOWN pending architecture clarification"
"/dashboard/rules/new","src\app\dashboard\rules\new\page.tsx","INSUFFICIENT_EVIDENCE","UNKNOWN","KEEP_UNKNOWN","UNKNOWN","UNKNOWN","No decision-engine imports found. Imports: react; next; next/link; lucide-react; @/components/rules/RuleEditor; @/components/ui/card; @/components/ui/skeleton; @/components/decision-engine/DecisionEngineHeader","Insufficient evidence to assign owner; preserve UNKNOWN pending architecture clarification"
"/dashboard/rules","src\app\dashboard\rules\page.tsx","INSUFFICIENT_EVIDENCE","UNKNOWN","KEEP_UNKNOWN","UNKNOWN","UNKNOWN","No decision-engine imports found. Imports: react; next/link; lucide-react; @/components/ui/button; @/components/rules/RulesTable; @/components/rules/RulesFilters; @/components/rules/RulesTableSkeleton; @/components/decision-engine/DecisionEngineHeader; @/services/tenant-actions; @/lib/business-rules/tenant-modules","Insufficient evidence to assign owner; preserve UNKNOWN pending architecture clarification"
"/hq/financial-overview","src\app\hq\financial-overview\page.tsx","INSUFFICIENT_EVIDENCE","UNKNOWN","KEEP_UNKNOWN","UNKNOWN","UNKNOWN","No clear product imports. Imports: @/services/hq-actions; next/navigation; ./financial-overview-client","Insufficient evidence; may be unused/legacy routes"
"/hq","src\app\hq\page.tsx","INSUFFICIENT_EVIDENCE","UNKNOWN","KEEP_UNKNOWN","UNKNOWN","UNKNOWN","No clear product imports. Imports: @/services/hq-actions; next/navigation; ./hq-dashboard-client; @/types/domain","Insufficient evidence; may be unused/legacy routes"
"/login-static","src\app\login-static\page.tsx","INSUFFICIENT_EVIDENCE","UNKNOWN","RESOLVE_OWNER","Identity/Auth","KNOWN","Login route in authentication context","Auth-related route; assign to Platform Identity/Auth"
"/portal/[token]","src\app\portal\[token]\page.tsx","INSUFFICIENT_EVIDENCE","UNKNOWN","KEEP_UNKNOWN","UNKNOWN","UNKNOWN","No clear product imports. Imports: react; next/navigation; framer-motion; next/image; lucide-react; @/services/customer-actions; sonner; @bella/shared; @/components/features/portal/PortalChatWidget; ./payment-utils; @/components/common/TenantBrandLogo; @/lib/business-rules/tenant-modules; @/services/customer-actions; @/lib/utils","Insufficient evidence; may be unused/legacy routes"
"/products/fresh-food","src\app\products\fresh-food\page.tsx","INSUFFICIENT_EVIDENCE","UNKNOWN","KEEP_UNKNOWN","UNKNOWN","UNKNOWN","Product catalog routes without clear owner. Imports: react; @/lib/supabase-client; @/products/bella-fresh-food/services/fresh-food-catalog.service","Potential retail/e-commerce routes; insufficient evidence without product architecture"
"/products/kids-clothing","src\app\products\kids-clothing\page.tsx","INSUFFICIENT_EVIDENCE","UNKNOWN","KEEP_UNKNOWN","UNKNOWN","UNKNOWN","Product catalog routes without clear owner. Imports: react; @/lib/supabase-client; @/products/bella-kids-clothing/services/kids-clothing-catalog.service","Potential retail/e-commerce routes; insufficient evidence without product architecture"
"/student/dashboard","src\app\student\dashboard\page.tsx","INSUFFICIENT_EVIDENCE","UNKNOWN","KEEP_UNKNOWN","UNKNOWN","UNKNOWN","No clear product imports. Imports: next/link; lucide-react; @/services/training-actions; @/types/training; ./StudentLessonCompleteButton; ./StudentChangePasswordForm","Insufficient evidence; may be unused/legacy routes"
