file_path,route_path,file_role,owner,owner_type,status,primary_evidence,secondary_evidence,confidence,notes
"src\app\api\admin\partners\[id]\webhook-logs\route.ts","/api/admin/partners/[id]/webhook-logs","route","Admin","Platform","KNOWN","Service layer: @/services/api-gateway/*","Platform administration","High","Platform admin/partner management"
"src\app\api\admin\partners\[id]\webhook-retry-config\route.ts","/api/admin/partners/[id]/webhook-retry-config","route","Admin","Platform","KNOWN","Service layer: @/services/api-gateway/*","Platform administration","High","Platform admin/partner management"
"src\app\api\admin\partners\analytics\route.ts","/api/admin/partners/analytics","route","Admin","Platform","KNOWN","Service layer: @/services/api-gateway/*","Platform administration","High","Platform admin/partner management"
"src\app\api\admin\partners\logs\route.ts","/api/admin/partners/logs","route","Admin","Platform","KNOWN","Service layer: @/services/api-gateway/*","Platform administration","High","Platform admin/partner management"
"src\app\api\admin\partners\route.ts","/api/admin/partners","route","Admin","Platform","KNOWN","Service layer: @/services/api-gateway/*","Platform administration","High","Platform admin/partner management"
"src\app\api\admin\partners\stats\route.ts","/api/admin/partners/stats","route","Admin","Platform","KNOWN","Service layer: @/services/api-gateway/*","Platform administration","High","Platform admin/partner management"
"src\app\api\admin\sandbox\reset\route.ts","/api/admin/sandbox/reset","route","Admin","Platform","KNOWN","Service layer: @/services/api-gateway/*","Platform administration","High","Platform admin/partner management"
"src\app\api\admin\sandbox\status\route.ts","/api/admin/sandbox/status","route","Admin","Platform","KNOWN","Service layer: @/services/api-gateway/*","Platform administration","High","Platform admin/partner management"
"src\app\api\admin\tenant\convert-to-franchise\route.ts","/api/admin/tenant/convert-to-franchise","route","Admin","Platform","KNOWN","Service layer: @/services/api-gateway/*","Platform administration","High","Platform admin/partner management"
"src\app\api\auth\login-static\route.ts","/api/auth/login-static","route","Platform Core","Platform","KNOWN","Platform API","API route","High","Platform core API"
"src\app\api\bella-auto\bookings\[id]\confirm-deposit\route.ts","/api/bella-auto/bookings/[id]/confirm-deposit","route","AutoMove","Product","KNOWN","API boundary: /api/bella-auto","AutoMove product APIs","High","AutoMove product API routes"
"src\app\api\bella-auto\bookings\route.ts","/api/bella-auto/bookings","route","AutoMove","Product","KNOWN","API boundary: /api/bella-auto","AutoMove product APIs","High","AutoMove product API routes"
"src\app\api\bella-auto\customers\search\route.ts","/api/bella-auto/customers/search","route","AutoMove","Product","KNOWN","API boundary: /api/bella-auto","AutoMove product APIs","High","AutoMove product API routes"
"src\app\api\bella-auto\marketplace\capabilities\route.ts","/api/bella-auto/marketplace/capabilities","route","AutoMove","Product","KNOWN","API boundary: /api/bella-auto","AutoMove product APIs","High","AutoMove product API routes"
"src\app\api\bella-auto\marketplace\install\route.ts","/api/bella-auto/marketplace/install","route","AutoMove","Product","KNOWN","API boundary: /api/bella-auto","AutoMove product APIs","High","AutoMove product API routes"
"src\app\api\bella-auto\marketplace\uninstall\route.ts","/api/bella-auto/marketplace/uninstall","route","AutoMove","Product","KNOWN","API boundary: /api/bella-auto","AutoMove product APIs","High","AutoMove product API routes"
"src\app\api\bella-auto\rollback-audit\route.ts","/api/bella-auto/rollback-audit","route","AutoMove","Product","KNOWN","API boundary: /api/bella-auto","AutoMove product APIs","High","AutoMove product API routes"
"src\app\api\bella-auto\rules\[id]\route.ts","/api/bella-auto/rules/[id]","route","AutoMove","Product","KNOWN","API boundary: /api/bella-auto","AutoMove product APIs","High","AutoMove product API routes"
"src\app\api\bella-auto\rules\analytics\route.ts","/api/bella-auto/rules/analytics","route","AutoMove","Product","KNOWN","API boundary: /api/bella-auto","AutoMove product APIs","High","AutoMove product API routes"
"src\app\api\bella-auto\rules\route.ts","/api/bella-auto/rules","route","AutoMove","Product","KNOWN","API boundary: /api/bella-auto","AutoMove product APIs","High","AutoMove product API routes"
"src\app\api\bella-auto\transactions\[id]\rollback\route.ts","/api/bella-auto/transactions/[id]/rollback","route","AutoMove","Product","KNOWN","API boundary: /api/bella-auto","AutoMove product APIs","High","AutoMove product API routes"
"src\app\api\bella-auto\transactions\[id]\route.ts","/api/bella-auto/transactions/[id]","route","AutoMove","Product","KNOWN","API boundary: /api/bella-auto","AutoMove product APIs","High","AutoMove product API routes"
"src\app\api\bella-auto\transactions\route.ts","/api/bella-auto/transactions","route","AutoMove","Product","KNOWN","API boundary: /api/bella-auto","AutoMove product APIs","High","AutoMove product API routes"
"src\app\api\bella-auto\vehicles\available\route.ts","/api/bella-auto/vehicles/available","route","AutoMove","Product","KNOWN","API boundary: /api/bella-auto","AutoMove product APIs","High","AutoMove product API routes"
"src\app\api\bella-auto\vehicles\brands\route.ts","/api/bella-auto/vehicles/brands","route","AutoMove","Product","KNOWN","API boundary: /api/bella-auto","AutoMove product APIs","High","AutoMove product API routes"
"src\app\api\bella-auto\vehicles\models\route.ts","/api/bella-auto/vehicles/models","route","AutoMove","Product","KNOWN","API boundary: /api/bella-auto","AutoMove product APIs","High","AutoMove product API routes"
"src\app\api\bella-auto\vehicles\variants\route.ts","/api/bella-auto/vehicles/variants","route","AutoMove","Product","KNOWN","API boundary: /api/bella-auto","AutoMove product APIs","High","AutoMove product API routes"
"src\app\api\bookings\check-ktv-availability\route.ts","/api/bookings/check-ktv-availability","route","Booking Engine","Platform","KNOWN","Cross-product booking","Booking pages/APIs","High","Platform booking engine"
"src\app\api\bookings\delete\route.ts","/api/bookings/delete","route","Booking Engine","Platform","KNOWN","Cross-product booking","Booking pages/APIs","High","Platform booking engine"
"src\app\api\cron\accounting-worker\route.ts","/api/cron/accounting-worker","route","Platform Core","Platform","KNOWN","Background jobs","Cron endpoints","High","Platform background jobs"
"src\app\api\cron\ai-autopilot\route.ts","/api/cron/ai-autopilot","route","Platform Core","Platform","KNOWN","Background jobs","Cron endpoints","High","Platform background jobs"
"src\app\api\cron\gate3-monitor\route.ts","/api/cron/gate3-monitor","route","Platform Core","Platform","KNOWN","Background jobs","Cron endpoints","High","Platform background jobs"
"src\app\api\cron\monitor-replica\route.ts","/api/cron/monitor-replica","route","Platform Core","Platform","KNOWN","Background jobs","Cron endpoints","High","Platform background jobs"
"src\app\api\cron\sync-external-ads\route.ts","/api/cron/sync-external-ads","route","Platform Core","Platform","KNOWN","Background jobs","Cron endpoints","High","Platform background jobs"
"src\app\api\cron\zalo-reminders\route.ts","/api/cron/zalo-reminders","route","Platform Core","Platform","KNOWN","Background jobs","Cron endpoints","High","Platform background jobs"
"src\app\api\customers\route.ts","/api/customers","route","Customer Management","Platform","KNOWN","Cross-product customer management","Customer/CRM pages","High","Platform customer management"
"src\app\api\debug-redis\route.ts","/api/debug-redis","route","Test/Debug","Platform","KNOWN","Test/debug endpoints","Development utilities","High","Platform test/debug utilities"
"src\app\api\decision-engine\audit\[id]\route.ts","/api/decision-engine/audit/[id]","route","Decision Engine","Platform","KNOWN","Platform decision engine","Audit/trace endpoints","High","Platform decision engine"
"src\app\api\decision-engine\audit\route.ts","/api/decision-engine/audit","route","Decision Engine","Platform","KNOWN","Platform decision engine","Audit/trace endpoints","High","Platform decision engine"
"src\app\api\finance\v1\events\route.ts","/api/finance/v1/events","route","Finance Core","Platform","KNOWN","Platform finance events","Finance API","High","Platform finance core"
"src\app\api\gate3\metrics\route.ts","/api/gate3/metrics","route","Platform Core","Platform","KNOWN","Platform monitoring","Health/metrics endpoints","High","Platform core monitoring"
"src\app\api\health\replica\route.ts","/api/health/replica","route","Platform Core","Platform","KNOWN","Platform monitoring","Health/metrics endpoints","High","Platform core monitoring"
"src\app\api\health\route.ts","/api/health","route","Platform Core","Platform","KNOWN","Platform monitoring","Health/metrics endpoints","High","Platform core monitoring"
"src\app\api\intelligence\admin\clear-cache\route.ts","/api/intelligence/admin/clear-cache","route","Intelligence","Platform","KNOWN","Service layer: @/services/intelligence/*","Cross-product analytics","High","Platform intelligence/analytics layer"
"src\app\api\intelligence\customer\churn-risk\route.ts","/api/intelligence/customer/churn-risk","route","Intelligence","Platform","KNOWN","Service layer: @/services/intelligence/*","Cross-product analytics","High","Platform intelligence/analytics layer"
"src\app\api\intelligence\customer\cohort-analysis\route.ts","/api/intelligence/customer/cohort-analysis","route","Intelligence","Platform","KNOWN","Service layer: @/services/intelligence/*","Cross-product analytics","High","Platform intelligence/analytics layer"
"src\app\api\intelligence\customer\ltv\route.ts","/api/intelligence/customer/ltv","route","Intelligence","Platform","KNOWN","Service layer: @/services/intelligence/*","Cross-product analytics","High","Platform intelligence/analytics layer"
"src\app\api\intelligence\customer\rfm-analysis\route.ts","/api/intelligence/customer/rfm-analysis","route","Intelligence","Platform","KNOWN","Service layer: @/services/intelligence/*","Cross-product analytics","High","Platform intelligence/analytics layer"
"src\app\api\intelligence\customer\segmentation\route.ts","/api/intelligence/customer/segmentation","route","Intelligence","Platform","KNOWN","Service layer: @/services/intelligence/*","Cross-product analytics","High","Platform intelligence/analytics layer"
"src\app\api\intelligence\executive\customer-metrics\route.ts","/api/intelligence/executive/customer-metrics","route","Intelligence","Platform","KNOWN","Service layer: @/services/intelligence/*","Cross-product analytics","High","Platform intelligence/analytics layer"
"src\app\api\intelligence\executive\financial-health\route.ts","/api/intelligence/executive/financial-health","route","Intelligence","Platform","KNOWN","Service layer: @/services/intelligence/*","Cross-product analytics","High","Platform intelligence/analytics layer"
"src\app\api\intelligence\executive\growth-indicators\route.ts","/api/intelligence/executive/growth-indicators","route","Intelligence","Platform","KNOWN","Service layer: @/services/intelligence/*","Cross-product analytics","High","Platform intelligence/analytics layer"
"src\app\api\intelligence\executive\monthly-revenue-summary\route.ts","/api/intelligence/executive/monthly-revenue-summary","route","Intelligence","Platform","KNOWN","Service layer: @/services/intelligence/*","Cross-product analytics","High","Platform intelligence/analytics layer"
"src\app\api\intelligence\executive\operational-efficiency\route.ts","/api/intelligence/executive/operational-efficiency","route","Intelligence","Platform","KNOWN","Service layer: @/services/intelligence/*","Cross-product analytics","High","Platform intelligence/analytics layer"
"src\app\api\intelligence\finance\budget-variance\route.ts","/api/intelligence/finance/budget-variance","route","Intelligence","Platform","KNOWN","Service layer: @/services/intelligence/*","Cross-product analytics","High","Platform intelligence/analytics layer"
"src\app\api\intelligence\finance\cash-flow-analysis\route.ts","/api/intelligence/finance/cash-flow-analysis","route","Intelligence","Platform","KNOWN","Service layer: @/services/intelligence/*","Cross-product analytics","High","Platform intelligence/analytics layer"
"src\app\api\intelligence\finance\cash-flow-forecast\route.ts","/api/intelligence/finance/cash-flow-forecast","route","Intelligence","Platform","KNOWN","Service layer: @/services/intelligence/*","Cross-product analytics","High","Platform intelligence/analytics layer"
"src\app\api\intelligence\finance\expense-breakdown\route.ts","/api/intelligence/finance/expense-breakdown","route","Intelligence","Platform","KNOWN","Service layer: @/services/intelligence/*","Cross-product analytics","High","Platform intelligence/analytics layer"
"src\app\api\intelligence\finance\financial-ratios\route.ts","/api/intelligence/finance/financial-ratios","route","Intelligence","Platform","KNOWN","Service layer: @/services/intelligence/*","Cross-product analytics","High","Platform intelligence/analytics layer"
"src\app\api\intelligence\finance\monthly-pnl\route.ts","/api/intelligence/finance/monthly-pnl","route","Intelligence","Platform","KNOWN","Service layer: @/services/intelligence/*","Cross-product analytics","High","Platform intelligence/analytics layer"
"src\app\api\intelligence\finance\profitability-trends\route.ts","/api/intelligence/finance/profitability-trends","route","Intelligence","Platform","KNOWN","Service layer: @/services/intelligence/*","Cross-product analytics","High","Platform intelligence/analytics layer"
"src\app\api\intelligence\finance\revenue-breakdown\route.ts","/api/intelligence/finance/revenue-breakdown","route","Intelligence","Platform","KNOWN","Service layer: @/services/intelligence/*","Cross-product analytics","High","Platform intelligence/analytics layer"
"src\app\api\intelligence\forecast\accuracy\route.ts","/api/intelligence/forecast/accuracy","route","Intelligence","Platform","KNOWN","Service layer: @/services/intelligence/*","Cross-product analytics","High","Platform intelligence/analytics layer"
"src\app\api\intelligence\forecast\all\route.ts","/api/intelligence/forecast/all","route","Intelligence","Platform","KNOWN","Service layer: @/services/intelligence/*","Cross-product analytics","High","Platform intelligence/analytics layer"
"src\app\api\intelligence\forecast\churn\route.ts","/api/intelligence/forecast/churn","route","Intelligence","Platform","KNOWN","Service layer: @/services/intelligence/*","Cross-product analytics","High","Platform intelligence/analytics layer"
"src\app\api\intelligence\forecast\demand\route.ts","/api/intelligence/forecast/demand","route","Intelligence","Platform","KNOWN","Service layer: @/services/intelligence/*","Cross-product analytics","High","Platform intelligence/analytics layer"
"src\app\api\intelligence\forecast\revenue\route.ts","/api/intelligence/forecast/revenue","route","Intelligence","Platform","KNOWN","Service layer: @/services/intelligence/*","Cross-product analytics","High","Platform intelligence/analytics layer"
"src\app\api\intelligence\hr\attendance-report\route.ts","/api/intelligence/hr/attendance-report","route","Intelligence","Platform","KNOWN","Service layer: @/services/intelligence/*","Cross-product analytics","High","Platform intelligence/analytics layer"
"src\app\api\intelligence\hr\employee-performance\route.ts","/api/intelligence/hr/employee-performance","route","Intelligence","Platform","KNOWN","Service layer: @/services/intelligence/*","Cross-product analytics","High","Platform intelligence/analytics layer"
"src\app\api\intelligence\hr\payroll-summary\route.ts","/api/intelligence/hr/payroll-summary","route","Intelligence","Platform","KNOWN","Service layer: @/services/intelligence/*","Cross-product analytics","High","Platform intelligence/analytics layer"
"src\app\api\intelligence\hr\productivity-trends\route.ts","/api/intelligence/hr/productivity-trends","route","Intelligence","Platform","KNOWN","Service layer: @/services/intelligence/*","Cross-product analytics","High","Platform intelligence/analytics layer"
"src\app\api\intelligence\hr\recruitment-metrics\route.ts","/api/intelligence/hr/recruitment-metrics","route","Intelligence","Platform","KNOWN","Service layer: @/services/intelligence/*","Cross-product analytics","High","Platform intelligence/analytics layer"
"src\app\api\intelligence\hr\retention-analysis\route.ts","/api/intelligence/hr/retention-analysis","route","Intelligence","Platform","KNOWN","Service layer: @/services/intelligence/*","Cross-product analytics","High","Platform intelligence/analytics layer"
"src\app\api\intelligence\hr\training-metrics\route.ts","/api/intelligence/hr/training-metrics","route","Intelligence","Platform","KNOWN","Service layer: @/services/intelligence/*","Cross-product analytics","High","Platform intelligence/analytics layer"
"src\app\api\intelligence\hr\workforce-analytics\route.ts","/api/intelligence/hr/workforce-analytics","route","Intelligence","Platform","KNOWN","Service layer: @/services/intelligence/*","Cross-product analytics","High","Platform intelligence/analytics layer"
"src\app\api\intelligence\marketing\ad-spend-summary\route.ts","/api/intelligence/marketing/ad-spend-summary","route","Intelligence","Platform","KNOWN","Service layer: @/services/intelligence/*","Cross-product analytics","High","Platform intelligence/analytics layer"
"src\app\api\intelligence\marketing\campaign-analytics\route.ts","/api/intelligence/marketing/campaign-analytics","route","Intelligence","Platform","KNOWN","Service layer: @/services/intelligence/*","Cross-product analytics","High","Platform intelligence/analytics layer"
"src\app\api\intelligence\marketing\channel-performance\route.ts","/api/intelligence/marketing/channel-performance","route","Intelligence","Platform","KNOWN","Service layer: @/services/intelligence/*","Cross-product analytics","High","Platform intelligence/analytics layer"
"src\app\api\intelligence\marketing\roi-report\route.ts","/api/intelligence/marketing/roi-report","route","Intelligence","Platform","KNOWN","Service layer: @/services/intelligence/*","Cross-product analytics","High","Platform intelligence/analytics layer"
"src\app\api\intelligence\marketing\top-performing-ads\route.ts","/api/intelligence/marketing/top-performing-ads","route","Intelligence","Platform","KNOWN","Service layer: @/services/intelligence/*","Cross-product analytics","High","Platform intelligence/analytics layer"
"src\app\api\intelligence\operational\capacity-utilization\route.ts","/api/intelligence/operational/capacity-utilization","route","Intelligence","Platform","KNOWN","Service layer: @/services/intelligence/*","Cross-product analytics","High","Platform intelligence/analytics layer"
"src\app\api\intelligence\operational\inventory-forecast\route.ts","/api/intelligence/operational/inventory-forecast","route","Intelligence","Platform","KNOWN","Service layer: @/services/intelligence/*","Cross-product analytics","High","Platform intelligence/analytics layer"
"src\app\api\intelligence\operational\inventory-status\route.ts","/api/intelligence/operational/inventory-status","route","Intelligence","Platform","KNOWN","Service layer: @/services/intelligence/*","Cross-product analytics","High","Platform intelligence/analytics layer"
"src\app\api\intelligence\operational\ktv-leaderboard\route.ts","/api/intelligence/operational/ktv-leaderboard","route","Intelligence","Platform","KNOWN","Service layer: @/services/intelligence/*","Cross-product analytics","High","Platform intelligence/analytics layer"
"src\app\api\intelligence\operational\ktv-performance\route.ts","/api/intelligence/operational/ktv-performance","route","Intelligence","Platform","KNOWN","Service layer: @/services/intelligence/*","Cross-product analytics","High","Platform intelligence/analytics layer"
"src\app\api\intelligence\operational\session-analytics\route.ts","/api/intelligence/operational/session-analytics","route","Intelligence","Platform","KNOWN","Service layer: @/services/intelligence/*","Cross-product analytics","High","Platform intelligence/analytics layer"
"src\app\api\intelligence\recommendation\package\route.ts","/api/intelligence/recommendation/package","route","Intelligence","Platform","KNOWN","Service layer: @/services/intelligence/*","Cross-product analytics","High","Platform intelligence/analytics layer"
"src\app\api\intelligence\recommendation\service\route.ts","/api/intelligence/recommendation/service","route","Intelligence","Platform","KNOWN","Service layer: @/services/intelligence/*","Cross-product analytics","High","Platform intelligence/analytics layer"
"src\app\api\intelligence\recommendation\upsell\route.ts","/api/intelligence/recommendation/upsell","route","Intelligence","Platform","KNOWN","Service layer: @/services/intelligence/*","Cross-product analytics","High","Platform intelligence/analytics layer"
"src\app\api\inventory\forecast\route.ts","/api/inventory/forecast","route","Inventory","Platform","KNOWN","Cross-product inventory","Inventory management","High","Platform inventory management"
"src\app\api\metrics\route.ts","/api/metrics","route","Platform Core","Platform","KNOWN","Platform monitoring","Health/metrics endpoints","High","Platform core monitoring"
